maktimestamp,altitude,velocity
1533207630.551,,2.60096
1533207631.519,,2.60096
1533207632.032,-76.2,
1533207634.485,,5.8521600000000005
1533207635.092,-60.96,
1533207635.563,,5.20192
1533207635.900,,5.8521600000000005
1533207636.393,,5.8521600000000005
1533207636.451,-53.34,
1533207636.880,-53.34,
1533207638.010,,6.1772800000000005
1533207638.308,-45.72,
1533207638.789,-38.1,
1533207639.022,,5.52704
1533207639.337,-38.1,
1533207639.608,,5.52704
1533207640.104,,4.55168
1533207640.234,-30.48,
1533207640.380,-30.48,
1533207640.596,,4.55168
1533207640.816,-30.48,
1533207641.092,,6.1772800000000005
1533207641.409,-22.86,
1533207641.585,,6.1772800000000005
1533207641.856,-22.86,
1533207642.026,,6.502400000000001
1533207642.457,-15.24,
1533207642.567,,6.502400000000001
1533207643.005,-15.24,
1533207643.108,,6.502400000000001
1533207643.438,-15.24,
1533207643.603,,6.502400000000001
1533207643.989,-7.62,
1533207644.075,,8.128
1533207644.476,-7.62,
1533207644.533,,8.128
1533207644.924,,9.10336
1533207645.463,,9.10336
1533207645.563,7.62,
1533207645.895,,9.42848
1533207646.387,,9.42848
1533207646.520,15.24,
1533207647.482,,9.7536
1533207647.693,22.86,
1533207648.025,,10.72896
1533207648.110,30.48,
1533207648.535,38.1,
1533207648.628,,10.72896
1533207649.122,38.1,
1533207649.171,,10.40384
1533207649.611,45.72,
1533207649.667,,10.40384
1533207650.020,53.34,
1533207650.106,,10.40384
1533207650.521,53.34,
1533207650.545,,10.40384
1533207650.916,,11.05408
1533207651.002,60.96,
1533207651.345,,11.05408
1533207651.379,60.96,
1533207651.820,,10.40384
1533207651.998,68.58,
1533207652.255,,10.40384
1533207652.420,76.2,
1533207652.757,,12.029440000000001
1533207652.876,83.82000000000001,
1533207653.259,,12.029440000000001
1533207653.432,83.82000000000001,
1533207653.664,,12.029440000000001
1533207653.832,,11.05408
1533207654.049,91.44,
1533207654.420,99.06,
1533207654.862,,10.72896
1533207654.948,99.06,
1533207655.325,106.68,
1533207655.391,,10.72896
1533207655.663,,10.72896
1533207655.804,114.30000000000001,
1533207655.895,,11.3792
1533207656.210,114.30000000000001,
1533207656.266,,11.3792
1533207656.658,121.92,
1533207656.757,,10.07872
1533207657.214,,10.07872
1533207657.223,121.92,
1533207657.691,129.54000000000002,
1533207657.747,,9.7536
1533207658.162,137.16,
1533207658.236,,9.7536
1533207658.716,137.16,
1533207658.843,,10.40384
1533207659.253,,10.40384
1533207659.306,144.78,
1533207659.797,152.4,
1533207659.850,,11.05408
1533207660.002,152.4,
1533207660.211,160.02,
1533207660.243,,11.05408
1533207660.722,,11.704320000000001
1533207660.796,160.02,
1533207661.250,,11.704320000000001
1533207661.268,167.64000000000001,
1533207661.740,175.26000000000002,
1533207661.742,,11.704320000000001
1533207662.197,,11.704320000000001
1533207662.338,175.26000000000002,
1533207662.742,,12.679680000000001
1533207662.770,175.26000000000002,
1533207662.869,182.88,
1533207663.194,,12.679680000000001
1533207663.483,190.5,
1533207663.721,,12.679680000000001
1533207663.929,198.12,
1533207664.210,,13.004800000000001
1533207664.558,205.74,
1533207664.665,,13.004800000000001
1533207665.070,213.36,
1533207665.152,,12.029440000000001
1533207665.659,,12.029440000000001
1533207665.659,220.98000000000002,
1533207666.070,,11.3792
1533207666.240,228.60000000000002,
1533207666.639,228.60000000000002,
1533207666.648,,11.3792
1533207667.079,,12.029440000000001
1533207667.144,236.22,
1533207667.663,,12.029440000000001
1533207667.683,243.84,
1533207668.130,251.46,
1533207668.206,,12.354560000000001
1533207668.658,,12.354560000000001
1533207668.680,251.46,
1533207669.046,259.08000000000004,
1533207669.197,,12.679680000000001
1533207669.584,266.7,
1533207669.644,,12.679680000000001
1533207670.068,274.32,
1533207670.145,,13.980160000000001
1533207670.604,281.94,
1533207670.716,,13.980160000000001
1533207671.087,289.56,
1533207671.119,,13.004800000000001
1533207671.624,,13.004800000000001
1533207671.697,289.56,
